Plug: https://twitter.com/t0x0pg

Domain	Count
mail.umhb.mil	1
maine0internet.gov	1
mal.mil	1
manchestermo.gov	1
manisteemi.gov	1
manpower.usmc.mil	1
march.af.mil	1
maricopa.gov	1
marine.usmc.mil	1
mArines.usmc.mil	1
marshfield.gov	1
mason.ddg87.mil	1
matsu.gov	1
mbhc.ms.gov	1
mcaap.army.mil	1
mcbbutler.usmc.mil	1
mccain.navy.mil	1
McGuire.af.mil	1
mcinerney.navy.mil	1
mcm1.navy.mil	1
mcm10.navy.mil	1
mcm11.navy.mil	1
mcm3.navy.mil	1
mcm4.nav.mil	1
mcm7.navy.mil	1
mcrc.usmc.mil	1
mcsftco.nsanwannex.navy.mil	1
md.ngb.army.mil	1
mdac.ms.gov	1
mdc.mo.gov	1
mdcourts.gov	1
mdrs.ms.gov	1
mercy.navy.mil	1
meriwethercountyga.gov	1
metnet.mt.gov	1
metrokc.gov	1
meu.gov	1
mgmc.af.mil	1
mi.army.mil	1
MI.army.mil	1
mi.gov	1
mich.gov	1
michgan.gov	1
Michigan.gov	1
midway.gov	1
mil.mail.mil	1
mildenhall.af.mil	1
milford.nh.gov	1
millvillenj.gov	1
misena.com.gov	1
mishawaka.in.gov	1
misouri.navy.mil	1
missouricitytx.gov	1
mmso.med.navy.mil	1
mn.mpls.gov	1
mn.usda.gov	1
mndulu.ang.af.mil	1
mnstci.iraq.centcom.mil	1
mnstpa.ang.af.mil	1
mo.doc.gov	1
mobile-bay.navy.mil	1
modot.mo.gov	1
montereypark.ca.gov	1
montpalisir.gov	1
monygomerycountymd.gov	1
morenoj.gov	1
mountainhom.af.mil	1
mountainhome.af.mil	1
ms.ngb.army.mil	1
ms.usda.gov	1
msn.gov	1
mstp.quantico.usmc.mil	1
msunduzi.gov	1
munch.gov	1
murray.utah.gov	1
Muslim.gov	1
mvc.dps.mo.gov	1
MYDICK.gov	1
myguide.gov	1
na.amedd.army.mil	1
narragansettri.gov	1
nashuanh.gov	1
naskef.navy.mil	1
nassay.navy.mil	1
navair.navy.mil	1
navsoc.navy.mil	1
navt.mil	1
navy.med.mil	1
Navy.mil	1
nayv.mil	1
ncdcr.gov	1
ncdenr.gov	1
ncdoj.gov	1
ncesc.gov	1
ncf.navy.mil	1
ncis.navy.mil	1
nctr.fda.gov	1
ndo.navy.mil	1
nemof.naples.navy.mil	1
nesucharleston.uscg.mil	1
netzero.gov	1
newtonma.gov	1
Ng.army.mil	1
ngb.army.mil	1
nhcorpus.med.navy.mil	1
nhgl.med.navy.mil	1
nhlbi.nih.gov	1
nida.nih.gov	1
nih.gov	1
nih.mail.gov	1
nj.gov	1
nj.ngb.army.mil	1
njatla.ang.af.mil	1
njwg.cap.gov	1
nlr.gov	1
nlrb.gov	1
nnva.gov	1
noemail.gov	1
norwoodma.gov	1
npgcable.gov	1
npt.nuwx.navy.mil	1
nrc.gov	1
nrl.navy.mil	1
nrlssc.navy.mil	1
nstcc.gov	1
nstcc.tn.gov	1
nswc.navy.mil	1
nswccd.navy.mil	1
nswlant.navy.mil	1
nt.quantico.usmc.mil	1
ntis.gov	1
nv.doe.gov	1
nvagr.gov	1
nvreno.ang.af.mil	1
nw.amedd.army.mil	1
nyserda.ny.gov	1
nystate.gov	1
nystew.ang.af.mil	1
oc.ssa.gov	1
oceancitymd.gov	1
oconomowoc-wi.gov	1
oem.nyc.gov	1
ogden.navy.mil	1
oh.ngb.army.mil	1
ohsep.louisiana.gov	1
ohspri.ang.af.mil	1
oily.gov	1
oja.ok.gov	1
oktuls.ang.af.mil	1
old.maricopa.gov	1
omig.ny.gov	1
one.usda.gov	1
opwdd.ny.gov	1
osan.af.mil	1
oshpd.ca.gov	1
ospd.ca.gov	1
osprey.navy.mil	1
otc.army.mil	1
overthere.gov	1
p.gov	1
pa.ngb.army.mil	1
panyny.gov	1
parks.ca.gov	1
pasadena.navy.mil	1
patrick.af.mil	1
paulding.gov	1
pawc.gov	1
pbgc.gov	1
pbh.gov	1
pcola.med.navy.mil	1
pcola.navy.med.mil	1
pd.boston.gov	1
pd.sandiego.gov	1
pd.sbcounty.gov	1
pendeleton.usmc.mil	1
perquimanscountync.gov	1
pg.md.us.gov	1
pgru.ars.usda.gov	1
ph.lacounty.gov	1
philly.gov	1
pickenscountyga.gov	1
pittsburgh.af.mil	1
planning.nyc.gov	1
police.lacounty.gov	1
police.qld.gov	1
police.vic.gov	1
police.wa.gov	1
policiacivil.sp.gov	1
policiamilirar.SP.gov	1
ponce.usmc.mil	1
Pope.af.mil	1
port-royal.navy.mil	1
portland.gov	1
portlandoregon.gov	1
preble.navy.mil	1
prisons.phila.gov	1
psc.alabama.gov	1
psc.mo.gov	1
ptd.gov	1
pubdef.ocgov.gov	1
radium.ncsc.mil	1
rgb49.navy.mil	1
riag.ri.gov	1
ride.ri.gov	1
rideout.usda.gov	1
riquon.ang.af.mil	1
risp.ri.gov	1
rms.nsw.gov	1
robins.AF.mil	1
rocketmail.mil	1
root.gov	1
ross.navy.mil	1
rrb.gov	1
rrmc.army.mil	1
rucker.army.mil	1
rushmore.navy.mil	1
s.army.mil	1
saa.senate.gov	1
samhsa.hhs.gov	1
san.osd.mil	1
sanbruno.ca.gov	1
sanderscounty.mt.gov	1
sandyhook.gov	1
sanjoseca.gov	1
SantaBarbaraCa.gov	1
santaclaraca.gov	1
santafenm.gov	1
saude.gov	1
sc.gov	1
sc.usda.gov	1
schools.gov	1
sco.ca.gov	1
scott.disa.mil	1
scout.navy.mil	1
scranton.navy.mil	1
scrmc.navy.mil	1
sdcounty.ca.gov	1
sddc.army.mil	1
se.amedd.army.mil	1
Seattle.gov	1
securities.arkansas.gov	1
sefaz.ba.gov	1
sembach.af.mil	1
sen.ca.gov	1
sentry.navy.mil	1
seymourjonson.af.mil	1
shelbycountytn.gov	1
simpson.navy.mil	1
sjc.utah.gov	1
sldkflww.mil	1
slidell.disa.mil	1
socom.mil	1
somervillema.gov	1
somewhere.gov	1
space.nrl.navy.mil	1
spangdahlem.af.mil	1
spcaf.af.mil	1
speceduc.gov	1
squairpants.gov	1
srvfire.ca.gov	1
Ssa.gov	1
ssn21.navy.mil	1
ssp.navy.mil	1
sswahs.cs.nsw.gov	1
stanewhaven.uscg.mil	1
stapascagoula.uscg.mil	1
state.ca.gov	1
State.gov	1
state.ny.gov	1
state.oh.gov	1
statepen.gov	1
stcharlesil.gov	1
stl.usda.gov	1
stow-ma.gov	1
stratcom.mil	1
stripes.osd.mil	1
sullivans.navy.mil	1
superiorcourt.maricopa.gov	1
supriorcourt.maricopa.gov	1
swa.af.mil	1
swa.army.mil	1
swflant.navy.mil	1
tacom.army.mil	1
tarawa.usmc.mil	1
tax.ny.gov	1
tcc.gov	1
tce.ma.gov	1
techrep.navy.mil	1
terrehaute.in.gov	1
thruway.ny.gov	1
tiffinohio.gov	1
tinker.at.mil	1
tj.rs.gov	1
tnmemp.ang.af.mil	1
tnmp.uscourts.gov	1
toledo.navy.mil	1
toledo.oh.gov	1
toledo.ph.gov	1
tonation-nsn.gov	1
tortuga.navy.mil	1
townofislip-ny.gov	1
trade.gov	1
Travis.af.mil	1
trf.in.gov	1
trfkb.navy.mil	1
troopers.state.gov	1
troyohio.gov	1
truman.mil	1
tsa.dhs.gov	1
tswg.gov	1
tulaliptribes-nsn.gov	1
tupeloms.gov	1
txep.uscourts.gov	1
txwd.uscourts.gov	1
tyndal.mil	1
u.gov	1
u.s.mil	1
ua.army.mil	1
ud.army.mil	1
ufms.gov	1
umcs.mil	1
un.army.mil	1
us.airforce.mil	1
us.amry.mil	1
us.armt.mil	1
us.armty.mil	1
us.army.amedds.mil	1
us.Army.mil	1
US.Army.mil	1
us.army.smil.mil	1
us.armyl.mil	1
US.gov	1
us.gov.mil	1
us.mail.mil	1
us.mil.gov	1
us.rmy.mil	1
us.srmy.mil	1
usac.army.mil	1
usace.mil	1
usaemy.mil	1
usafricom.mil	1
USamry.mil	1
usarmy.com.mil	1
USC.mil	1
USCG.mil	1
uscg.munro.mil	1
uscis.dhs.gov	1
usdof.gov	1
usmarmy.mil	1
usmtm.sppn.af.mil	1
usn.mil	1
ussharrystruman.navy.mil	1
ussmc.mil	1
usspearlharbor.navy.mil	1
usspearlharbor.usmc.mil	1
ustaxcourt.gov	1
usuhs.mil	1
ut.gov	1
utcourts.gov	1
utsalt.ang.af.mil	1
VA.gov	1
vader.gov	1
vadoc.va.gov	1
varich.ang.af.mil	1
vaw126.navy.mil	1
vb.gov	1
vcgcb.ca.gov	1
vdh.virignia.gov	1
VDOT.Virginia.gov	1
vella-gulf.navy.mil	1
vfa82.navy.mil	1
vickburg.navy.mil	1
virginia.vdot.gov	1
vita.virginia.gov	1
voa.gov	1
vs.army.mil	1
vtburl.ang.af.mil	1
warren.af.mil	1
Warren.af.mil	1
washington.mil	1
wasp.navy.mil	1
wataco.ang.af.mil	1
waukeshacounty.gov	1
weinsos.gov	1
weslacotx.gov	1
westford.gov	1
wheelingil.gov	1
whidbey-island.navy.mil	1
whiteman.af.mil	1
wi.usda.gov	1
wichita.gov	1
wicrtc.ang.af.mil	1
wimilw.ang.af.mil	1
windowslive.gov	1
wlf.la.gov	1
wsdot.wa.gov	1
wva.army.mil	1
wvadmin.gov	1
wyo.gov	1
Yahoo.gov	1
yappo.gov	1
yhhe.gov	1
yokota.af.mil	1
Yokota.af.mil	1
yorktown.navy.mil	1
ytroi.mil	1
yuma.army.mil	1
