Plug: https://twitter.com/t0x0pg

Domain	Count
ct.gov	4
ddg102.navy.mil	4
ddg103.navy.mil	4
ddg106.navy.mil	4
ddg108.navy.mil	4
ddg66.navy.mil	4
ddg69.navy.mil	4
ddg74.navy.mil	4
ddg75.navy.mil	4
ddg86.navy.mil	4
ddg88.navy.mil	4
ddg90.navy.mil	4
dia.mil	4
dshs.wa.gov	4
essex.navy.mil	4
ffg39.navy.mil	4
ffg41.navy.mil	4
ffg42.navy.mil	4
ffg47.navy.mil	4
ffg54.navy.mil	4
ffg8.navy.mil	4
halsey.navy.mil	4
hawes.navy.mil	4
holloman.af.mil	4
hq.southcom.mil	4
ice.dhs.gov	4
illinois.gov	4
jud.ct.gov	4
kirtland.af.mil	4
kuwait.swa.army.mil	4
laboon.navy.mil	4
llnl.gov	4
lpd13.navy.mil	4
lpd17.navy.mil	4
lpd18.navy.mil	4
lpd19.navy.mil	4
lpd22.navy.mil	4
lpd9.navy.mil	4
lsd41.navy.mil	4
lsd48.navy.mil	4
macdill.af.mil	4
mail.hamiltontn.gov	4
manchesternh.gov	4
mcchord.af.mil	4
mepcom.army.mil	4
miamidade.gov	4
milius.navy.mil	4
monticelloin.gov	4
mt.gov	4
ncua.gov	4
nsa.gov	4
nwc.navy.mil	4
ny.ngb.army.mil	4
peterson.af.mil	4
pubdef.lacounty.gov	4
ramstein.af.mil	4
rockvillemd.gov	4
salemva.gov	4
sanjacinto.navy.mil	4
sba.gov	4
shaw.af.mil	4
shreveport.navy.mil	4
soar.army.mil	4
southbendin.gov	4
ugov.gov	4
Us.army.mil	4
us.arny.mil	4
usbr.gov	4
usda.gov	4
USMC.mil	4
vb.socom.mil	4
whs.mil	4
yahoo.gov	4
29palms.usmc.mil	3
2mawbft.usmc.mil	3
3div.usmc.mil	3
ahqb.soc.mil	3
ako.army.mil	3
akronohio.gov	3
alacop.gov	3
anl.gov	3
ars.usda.gov	3
barksdale.af.mil	3
bep.treas.gov	3
bic.usmc.mil	3
blm.gov	3
boisforte-nsn.gov	3
bonhomme-richard.usmc.mil	3
canada.gov	3
cap-police.senate.gov	3
carney.navy.mil	3
cbp.dhs.gov	3
ccad.army.mil	3
cdph.ca.gov	3
centcom.mil	3
cg65.navy.mil	3
cincinnati-oh.gov	3
cleveland.navy.mil	3
councilbluffs-ia.gov	3
cvw5.navy.mil	3
ddg54.navy.mil	3
ddg59.navy.mil	3
ddg63.navy.mil	3
ddg70.navy.mil	3
ddg72.navy.mil	3
ddg78.navy.mil	3
ddg96.navy.mil	3
desototexas.gov	3
dhs.ca.gov	3
dma.mil	3
doc.mo.gov	3
dot.ga.gov	3
douglascounty-ne.gov	3
dover.af.mil	3
dtic.mil	3
dyess.af.mil	3
elmendorf.af.mil	3
elrod.navy.mil	3
erie.gov	3
eur.army.mil	3
fdny.nyc.gov	3
ffg32.navy.mil	3
ffg33.navy.mil	3
ffg53.navy.mil	3
ffg57.navy.mil	3
ffg61.navy.mil	3
fmcs.gov	3
fresno.gov	3
germantown.navy.mil	3
gpo.gov	3
greensboro-nc.gov	3
hickam.af.mil	3
hmx-1.usmc.mil	3
hotmail.gov	3
hq.doe.gov	3
hqda.army.mil	3
hqmc.usmc.mil	3
iimef.usmc.mil	3
ingraham.navy.mil	3
jbosc.ksc.nasa.gov	3
jfcom.mil	3
kingcounty.gov	3
kitty-hawk.navy.mil	3
la.gov	3
lha3.navy.mil	3
lhd2.navy.mil	3
loc.gov	3
loudoun.gov	3
louisvilleky.gov	3
maxwell.af.mil	3
mcm14.navy.mil	3
mcm6.navy.mil	3
me.gov	3
me.navy.mil	3
med.va.gov	3
menwithhill.af.mil	3
mhrh.ri.gov	3
miramar.usmc.mil	3
misawa.af.mil	3
mitscher.navy.mil	3
mustin.navy.mil	3
nassau.navy.mil	3
